DATE,ATXRNSA
1991-01-01,69.61
1991-02-01,69.17
1991-03-01,69.05
1991-04-01,69.40
1991-05-01,69.69
1991-06-01,70.14
1991-07-01,70.12
1991-08-01,70.48
1991-09-01,70.35
1991-10-01,70.29
1991-11-01,70.09
1991-12-01,69.90
1992-01-01,70.05
1992-02-01,69.88
1992-03-01,69.96
1992-04-01,69.91
1992-05-01,70.28
1992-06-01,70.59
1992-07-01,71.29
1992-08-01,71.51
1992-09-01,71.59
1992-10-01,71.17
1992-11-01,71.33
1992-12-01,71.33
1993-01-01,71.50
1993-02-01,71.26
1993-03-01,71.49
1993-04-01,71.94
1993-05-01,72.53
1993-06-01,72.92
1993-07-01,73.33
1993-08-01,73.61
1993-09-01,73.87
1993-10-01,73.91
1993-11-01,73.97
1993-12-01,74.27
1994-01-01,74.72
1994-02-01,75.08
1994-03-01,75.21
1994-04-01,75.26
1994-05-01,75.71
1994-06-01,76.15
1994-07-01,76.60
1994-08-01,76.88
1994-09-01,76.95
1994-10-01,77.25
1994-11-01,77.56
1994-12-01,77.95
1995-01-01,78.16
1995-02-01,78.26
1995-03-01,78.32
1995-04-01,78.40
1995-05-01,78.55
1995-06-01,78.76
1995-07-01,79.14
1995-08-01,79.57
1995-09-01,79.90
1995-10-01,80.10
1995-11-01,80.18
1995-12-01,80.38
1996-01-01,80.70
1996-02-01,80.97
1996-03-01,81.10
1996-04-01,81.49
1996-05-01,81.85
1996-06-01,82.26
1996-07-01,82.30
1996-08-01,82.61
1996-09-01,82.93
1996-10-01,83.14
1996-11-01,83.36
1996-12-01,83.33
1997-01-01,83.54
1997-02-01,83.54
1997-03-01,83.78
1997-04-01,84.37
1997-05-01,85.03
1997-06-01,85.38
1997-07-01,85.61
1997-08-01,85.75
1997-09-01,86.26
1997-10-01,86.52
1997-11-01,86.95
1997-12-01,87.09
1998-01-01,87.40
1998-02-01,87.60
1998-03-01,88.20
1998-04-01,89.03
1998-05-01,89.86
1998-06-01,90.49
1998-07-01,90.76
1998-08-01,90.99
1998-09-01,91.28
1998-10-01,91.95
1998-11-01,92.55
1998-12-01,92.95
1999-01-01,93.29
1999-02-01,93.64
1999-03-01,94.34
1999-04-01,94.98
1999-05-01,95.91
1999-06-01,96.66
1999-07-01,97.32
1999-08-01,97.62
1999-09-01,98.01
1999-10-01,98.59
1999-11-01,99.12
1999-12-01,99.76
2000-01-01,100.00
2000-02-01,100.80
2000-03-01,101.18
2000-04-01,102.50
2000-05-01,103.38
2000-06-01,104.58
2000-07-01,104.81
2000-08-01,105.09
2000-09-01,105.08
