DATE,CRXRNSA
1987-01-01,63.39
1987-02-01,63.94
1987-03-01,64.17
1987-04-01,64.81
1987-05-01,65.18
1987-06-01,65.55
1987-07-01,65.76
1987-08-01,66.08
1987-09-01,66.47
1987-10-01,66.77
1987-11-01,67.09
1987-12-01,67.19
1988-01-01,67.61
1988-02-01,67.44
1988-03-01,67.95
1988-04-01,67.79
1988-05-01,67.92
1988-06-01,68.14
1988-07-01,68.64
1988-08-01,69.67
1988-09-01,69.93
1988-10-01,70.10
1988-11-01,69.56
1988-12-01,69.70
1989-01-01,69.76
1989-02-01,70.23
1989-03-01,70.52
1989-04-01,70.67
1989-05-01,71.13
1989-06-01,71.52
1989-07-01,71.79
1989-08-01,71.92
1989-09-01,71.90
1989-10-01,72.05
1989-11-01,72.16
1989-12-01,72.48
1990-01-01,72.69
1990-02-01,72.92
1990-03-01,72.99
1990-04-01,73.18
1990-05-01,73.50
1990-06-01,74.10
1990-07-01,74.12
1990-08-01,74.33
1990-09-01,74.09
1990-10-01,74.12
1990-11-01,73.36
1990-12-01,73.46
1991-01-01,73.32
1991-02-01,73.26
1991-03-01,72.75
1991-04-01,72.88
1991-05-01,73.26
1991-06-01,73.49
1991-07-01,73.61
1991-08-01,73.59
1991-09-01,73.38
1991-10-01,73.58
1991-11-01,73.52
1991-12-01,73.80
1992-01-01,73.58
1992-02-01,73.56
1992-03-01,73.29
1992-04-01,73.25
1992-05-01,73.45
1992-06-01,73.60
1992-07-01,74.14
1992-08-01,74.41
1992-09-01,74.60
1992-10-01,74.38
1992-11-01,74.18
1992-12-01,74.42
1993-01-01,74.57
1993-02-01,74.68
1993-03-01,74.58
1993-04-01,74.48
1993-05-01,74.66
1993-06-01,75.13
1993-07-01,75.56
1993-08-01,75.73
1993-09-01,75.64
1993-10-01,75.82
1993-11-01,76.14
1993-12-01,76.74
1994-01-01,77.01
1994-02-01,77.09
1994-03-01,77.27
1994-04-01,77.50
1994-05-01,77.85
1994-06-01,78.28
1994-07-01,78.91
1994-08-01,79.52
1994-09-01,79.84
1994-10-01,79.87
1994-11-01,79.70
1994-12-01,80.03
1995-01-01,80.47
1995-02-01,80.94
1995-03-01,81.10
1995-04-01,81.50
1995-05-01,81.89
1995-06-01,82.53
1995-07-01,83.22
1995-08-01,83.83
1995-09-01,84.34
1995-10-01,84.57
1995-11-01,84.69
1995-12-01,84.97
1996-01-01,85.24
1996-02-01,85.68
1996-03-01,87.15
1996-04-01,87.97
1996-05-01,88.78
1996-06-01,88.62
1996-07-01,88.56
1996-08-01,88.68
1996-09-01,88.49
1996-10-01,88.53
1996-11-01,88.69
1996-12-01,88.87
1997-01-01,89.28
1997-02-01,89.39
1997-03-01,90.30
1997-04-01,90.42
1997-05-01,90.85
1997-06-01,91.01
1997-07-01,91.55
1997-08-01,91.83
1997-09-01,92.18
1997-10-01,92.41
1997-11-01,92.32
1997-12-01,92.15
1998-01-01,92.13
1998-02-01,92.37
1998-03-01,92.86
1998-04-01,93.22
1998-05-01,93.99
1998-06-01,94.45
1998-07-01,94.78
1998-08-01,95.04
1998-09-01,95.17
1998-10-01,95.42
1998-11-01,95.39
1998-12-01,95.48
1999-01-01,95.73
1999-02-01,96.05
1999-03-01,97.19
1999-04-01,98.12
1999-05-01,98.90
1999-06-01,99.32
1999-07-01,99.55
1999-08-01,99.70
1999-09-01,99.82
1999-10-01,99.47
1999-11-01,99.30
1999-12-01,99.61
2000-01-01,100.00
2000-02-01,100.43
2000-03-01,100.92
2000-04-01,102.27
2000-05-01,102.68
2000-06-01,103.27
2000-07-01,102.85
2000-08-01,103.02
2000-09-01,102.88
2000-10-01,102.88
2000-11-01,102.95
2000-12-01,102.41
2001-01-01,102.86
2001-02-01,103.15
2001-03-01,103.70
2001-04-01,103.81
2001-05-01,104.58
2001-06-01,104.94
2001-07-01,105.49
2001-08-01,105.18
2001-09-01,105.16
2001-10-01,104.59
2001-11-01,104.33
2001-12-01,104.05
2002-01-01,104.12
2002-02-01,104.48
2002-03-01,105.17
2002-04-01,105.98
2002-05-01,106.38
2002-06-01,106.86
2002-07-01,106.90
2002-08-01,107.37
2002-09-01,107.57
2002-10-01,107.45
2002-11-01,107.23
2002-12-01,107.18
2003-01-01,107.68
2003-02-01,107.85
2003-03-01,107.80
2003-04-01,107.69
2003-05-01,107.86
2003-06-01,108.75
2003-07-01,109.03
2003-08-01,109.46
2003-09-01,109.24
2003-10-01,110.18
2003-11-01,110.53
2003-12-01,110.65
2004-01-01,109.75
2004-02-01,109.63
2004-03-01,110.42
2004-04-01,111.66
2004-05-01,112.58
2004-06-01,113.46
2004-07-01,113.82
2004-08-01,113.54
2004-09-01,113.40
2004-10-01,113.34
2004-11-01,113.75
2004-12-01,114.15
2005-01-01,114.26
2005-02-01,114.32
2005-03-01,114.31
2005-04-01,114.91
2005-05-01,116.09
2005-06-01,117.97
2005-07-01,119.02
2005-08-01,119.83
2005-09-01,119.60
2005-10-01,120.29
2005-11-01,120.26
2005-12-01,120.82
2006-01-01,119.96
2006-02-01,120.51
2006-03-01,121.41
2006-04-01,123.38
2006-05-01,124.70
2006-06-01,126.48
2006-07-01,127.96
2006-08-01,128.72
2006-09-01,129.04
2006-10-01,128.51
2006-11-01,128.94
2006-12-01,128.88
2007-01-01,129.43
2007-02-01,129.31
2007-03-01,130.44
2007-04-01,131.98
2007-05-01,133.42
2007-06-01,135.05
2007-07-01,135.60
2007-08-01,135.88
2007-09-01,135.13
2007-10-01,133.98
2007-11-01,132.68
2007-12-01,131.90
2008-01-01,131.70
2008-02-01,131.22
2008-03-01,131.52
2008-04-01,131.81
2008-05-01,133.16
2008-06-01,133.45
2008-07-01,133.20
2008-08-01,132.10
2008-09-01,130.40
2008-10-01,128.02
2008-11-01,125.61
2008-12-01,122.37
2009-01-01,121.00
2009-02-01,119.04
2009-03-01,119.39
2009-04-01,118.69
2009-05-01,119.80
2009-06-01,120.54
2009-07-01,121.23
2009-08-01,120.72
2009-09-01,119.84
2009-10-01,119.05
2009-11-01,118.66
2009-12-01,117.79
2010-01-01,117.16
2010-02-01,115.98
2010-03-01,114.77
2010-04-01,116.05
2010-05-01,116.39
2010-06-01,117.24
2010-07-01,117.03
2010-08-01,116.57
2010-09-01,115.40
2010-10-01,114.12
2010-11-01,113.45
2010-12-01,112.41
2011-01-01,111.32
2011-02-01,110.11
2011-03-01,108.92
2011-04-01,110.35
2011-05-01,111.85
2011-06-01,113.56
2011-07-01,113.56
2011-08-01,113.41
2011-09-01,112.85
2011-10-01,111.68
2011-11-01,110.16
2011-12-01,109.06
2012-01-01,108.39
2012-02-01,108.55
2012-03-01,110.09
2012-04-01,111.65
2012-05-01,112.90
2012-06-01,114.49
2012-07-01,115.49
2012-08-01,116.59
2012-09-01,115.87
2012-10-01,115.40
2012-11-01,114.85
2012-12-01,115.05
2013-01-01,115.53
2013-02-01,115.82
2013-03-01,118.34
2013-04-01,120.30
2013-05-01,121.79
2013-06-01,123.29
2013-07-01,123.85
2013-08-01,125.07
2013-09-01,124.79
2013-10-01,125.17
2013-11-01,124.17
2013-12-01,124.07
2014-01-01,123.89
